measurer_category,user_name,scale_x1,scale_y1,scale_x2,scale_y2,tegula_x1,tegula_y1,tegula_x2,tegula_y2,T3_1 Were you able to measure the bee?,Filename,started_at,finished_at,workflow_version,catalogNumber,itd_pixels,scaledist_pixels,itd_cm,itd_mm
community_scientist,Jexi,1409,124,1831,124,629,1301,632,1461,Yes,UCSB-IZC00000646.jpg,10/11/22 20:51,10/11/22 20:51,1.3,UCSB-IZC00000646,160.0281225285106,422,0.1896067802470505,1.896067802
community_scientist,LeanneAldred,1406,127,1836,123,661,1304,673,1454,Yes,UCSB-IZC00000646.jpg,10/12/22 13:11,10/12/22 13:11,1.3,UCSB-IZC00000646,150.47923444781344,430.01860424869994,0.17496828388474123,1.749682839
community_scientist,A.corn,556,190,983,184,638,1296,638,1463,Yes,UCSB-IZC00000646.jpg,10/12/22 15:39,10/12/22 15:39,1.3,UCSB-IZC00000646,167,427.0421524861451,0.1955310488996963,1.955310489
community_scientist,Suem28,1406,183,1836,182,652,1296,655,1463,Yes,UCSB-IZC00000646.jpg,10/20/22 17:57,10/20/22 17:58,1.3,UCSB-IZC00000646,167.0269439342048,430.0011627891255,0.19421685147409193,1.942168515
community_scientist,readr,1408,164,1829,164,647,1288,652,1454,Yes,UCSB-IZC00000646.jpg,10/24/22 1:38,10/24/22 1:39,1.3,UCSB-IZC00000646,166.0752841334315,421,0.19723905479029868,1.972390548
community_scientist,Jexi,1788,120,2234,117,939,1594,948,1756,Yes,UCSB-IZC00003496.jpg,10/9/22 20:10,10/9/22 20:10,1.3,UCSB-IZC00003496,162.24980739587951,446.0100895719737,0.18189028812283953,1.818902881
community_scientist,bluemems1,1572,304,659,301,904,1572,901,1862,NA,UCSB-IZC00003496.jpg,10/10/22 17:33,10/10/22 17:34,1.3,UCSB-IZC00003496,290.01551682625535,913.0049287928297,0.15882472683346427,1.588247268
community_scientist,crjss,591,1718,1168,1739,944,1584,927,1858,No,UCSB-IZC00003496.jpg,10/12/22 0:17,10/12/22 0:17,1.3,UCSB-IZC00003496,274.5268657162719,577.3820225812369,0.23773416471210473,2.377341647
community_scientist,SnailOfSorts,1784,164,2234,164,946,1585,955,1755,Yes,UCSB-IZC00003496.jpg,10/13/22 18:32,10/13/22 18:32,1.3,UCSB-IZC00003496,170.23806859806652,450,0.18915340955340723,1.891534096
community_scientist,Suem28,1780,170,2235,172,953,1585,953,1768,Yes,UCSB-IZC00003496.jpg,10/22/22 13:38,10/22/22 13:39,1.3,UCSB-IZC00003496,183,455.00439558316356,0.201096958,2.010969584
community_scientist,Pri_B,2342,168,2934,167,1157,1593,1406,1592,Yes,UCSB-IZC00003658.jpg,10/6/22 10:33,10/6/22 10:35,1.3,UCSB-IZC00003658,249.0020080240318,592.0008445939922,0.21030544998191947,2.1030545
community_scientist,Agustinclossirrazabal,2344,129,2942,129,1170,1595,1406,1603,Yes,UCSB-IZC00003658.jpg,10/11/22 12:52,10/11/22 12:53,1.3,UCSB-IZC00003658,236.13555429032706,598,0.19743775442335038,1.974377544
community_scientist,LeanneAldred,1172,91,1763,91,1157,1602,1403,1594,Yes,UCSB-IZC00003658.jpg,10/11/22 15:04,10/11/22 15:05,1.3,UCSB-IZC00003658,246.13004692641653,591,0.20823185019155374,2.082318502
community_scientist,not-logged-in-c5c1f3d1efb0506e0bc5,2343,179,2936,182,1152,1599,1406,1602,Yes,UCSB-IZC00003658.jpg,10/17/22 20:41,10/17/22 20:42,1.3,UCSB-IZC00003658,254.01771591761076,593.0075884843296,0.21417745813915773,2.141774581
community_scientist,Suem28,2346,167,2933,163,1164,1602,1409,1593,Yes,UCSB-IZC00003658.jpg,10/20/22 18:24,10/20/22 18:25,1.3,UCSB-IZC00003658,245.16525039246488,587.0136284618952,0.2088241554415455,2.088241554
community_scientist,dearmstrong,2246,273,2783,273,1312,2037,1338,1859,Yes,UCSB-IZC00003718.jpg,10/5/22 19:13,10/5/22 19:14,1.3,UCSB-IZC00003718,179.88885457415086,537,0.16749427800200267,1.67494278
community_scientist,TarynR,2250,217,2782,221,1345,1834,1313,2053,Yes,UCSB-IZC00003718.jpg,10/6/22 19:58,10/6/22 20:03,1.3,UCSB-IZC00003718,221.32555207205516,532.0150373814635,0.20800685743903244,2.080068574
community_scientist,Suem28,2242,258,2783,260,1354,1863,1330,2038,Yes,UCSB-IZC00003718.jpg,10/18/22 18:22,10/18/22 18:23,1.3,UCSB-IZC00003718,176.63804799646084,541.0036968,0.16325031513329508,1.632503151
community_scientist,Agustinclossirrazabal,1172,211,1709,220,1316,2034,1339,1866,Yes,UCSB-IZC00003718.jpg,10/18/22 21:42,10/18/22 21:43,1.3,UCSB-IZC00003718,169.5670958647343,537.0754136990447,0.15786153260755373,1.578615326
community_scientist,1emmak3,2239,253,2783,256,1349,1871,1340,2030,Yes,UCSB-IZC00003718.jpg,10/19/22 21:17,10/19/22 21:18,1.3,UCSB-IZC00003718,159.25451327984396,544.0082719959321,0.14637140782395566,1.463714078
community_scientist,Agustinclossirrazabal,1549,218,2179,208,1572,2504,1573,2246,Yes,UCSB-IZC00004438.jpg,10/8/22 2:14,10/8/22 2:14,1.3,UCSB-IZC00004438,258.00193797721755,630.0793600809345,0.20473765236816904,2.047376524
community_scientist,Jexi,302,194,939,191,1548,2250,1559,2493,Yes,UCSB-IZC00004438.jpg,10/9/22 19:57,10/9/22 19:57,1.3,UCSB-IZC00004438,243.24884377936928,637.0070643250356,0.19093104095879423,1.90931041
community_scientist,LeanneAldred,1547,184,2178,189,1574,2248,1579,2498,Yes,UCSB-IZC00004438.jpg,10/11/22 15:06,10/11/22 15:06,1.3,UCSB-IZC00004438,250.04999500099976,631.0198095147251,0.19813165231159413,1.981316523
community_scientist,mzitnick,1552,113,2808,111,1577,2242,1574,2495,NA,UCSB-IZC00004438.jpg,10/13/22 16:59,10/13/22 17:00,1.3,UCSB-IZC00004438,253.0177859360879,1256.0015923556784,0.10072351320094407,1.007235132
community_scientist,Suem28,2793,277,3419,277,1569,2239,1572,2506,Yes,UCSB-IZC00004438.jpg,10/18/22 18:21,10/18/22 18:22,1.3,UCSB-IZC00004438,267.01685340067957,626,0.21327224712514342,2.132722471
community_scientist,bluemems1,2665,546,1546,565,1950,1680,1947,1957,Yes,UCSB-IZC00005582.jpg,10/10/22 17:34,10/10/22 17:34,1.3,UCSB-IZC00005582,277.01624501101014,1119.1612931119446,0.12376064411624602,1.237606441
community_scientist,LeanneAldred,1934,278,2573,277,1974,1698,1982,1934,Yes,UCSB-IZC00005582.jpg,10/11/22 15:02,10/11/22 15:02,1.3,UCSB-IZC00005582,236.13555429032706,639.0007824721343,0.18476937804111726,1.84769378
community_scientist,dearmstrong,672,396,1310,389,1981,1944,1980,1698,Yes,UCSB-IZC00005582.jpg,10/11/22 19:18,10/11/22 19:18,1.3,UCSB-IZC00005582,246.00203251192866,638.0384000983013,0.19277995844296175,1.927799584
